dag_id,root_dag_id,is_paused,is_subdag,is_active,last_parsed_time,last_pickled,last_expired,scheduler_lock,pickle_id,fileloc,processor_subdir,owners,description,default_view,schedule_interval,timetable_description,max_active_tasks,max_active_runs,has_task_concurrency_limits,has_import_errors,next_dagrun,next_dagrun_data_interval_start,next_dagrun_data_interval_end,next_dagrun_create_after
clean_content,,t,f,t,2025-09-10 21:47:34.142975+03,,,,,/opt/airflow/dags/clean_content.py,,airflow,"Delete all replies, messages, and retweets from PostgreSQL",grid,null,"Never, external triggers only",16,1,f,f,,,,
create_automa,,t,f,t,2025-09-10 21:47:34.145709+03,,,,,/opt/airflow/dags/create_automa.py,,airflow,"Generate Automa workflows with enhanced content connections for replies, messages, and retweets.",grid,null,"Never, external triggers only",16,1,f,f,,,,
create_content,,t,f,t,2025-09-10 21:47:34.146723+03,,,,,/opt/airflow/dags/create_content.py,,airflow,"Manual content generation via Gemini API - No retries, no triggers (Africa/Nairobi)",grid,null,"Never, external triggers only",16,1,f,f,,,,
delete_workflows,,t,f,t,2025-09-10 21:47:34.147558+03,,,,,/opt/airflow/dags/delete_workflows.py,,airflow,"Delete all reply, message, and retweet workflows from MongoDB",grid,null,"Never, external triggers only",16,16,f,f,,,,
execute_automa_workflows,,t,f,t,2025-09-10 21:47:34.148441+03,,,,,/opt/airflow/dags/execute.py,,data-team,Execute Automa workflows using persistent Hyperbrowser profile with Automa extension,grid,"""*/5 * * * *""",Every 5 minutes,16,16,f,f,2025-09-10 21:40:00+03,2025-09-10 21:40:00+03,2025-09-10 21:45:00+03,2025-09-10 21:45:00+03
execute_puppeteer,,t,f,t,2025-09-10 21:47:34.152394+03,,,,,/opt/airflow/dags/execute_puppeteer.py,,airflow,Manual Puppeteer workflow execution - No retries (Africa/Nairobi),grid,null,"Never, external triggers only",16,1,t,f,,,,
extract_links,,t,f,t,2025-09-10 21:47:34.153159+03,,,,,/opt/airflow/dags/extract_links.py,,airflow,Manual Automa workflow with Chrome debugging and data extraction - No retries (Africa/Nairobi),grid,null,"Never, external triggers only",16,1,t,f,,,,
filter_links,,t,f,t,2025-09-10 21:47:34.15398+03,,,,,/opt/airflow/dags/filter_links.py,,airflow,Enhanced tweet timestamp estimation with robust MongoDB workflow integration,grid,null,"Never, external triggers only",16,16,f,f,,,,
hyperbrowser_profile_setup,,t,f,t,2025-09-10 21:47:34.1548+03,,,,,/opt/airflow/dags/profile_setup.py,,data-team,One-time setup of Hyperbrowser profile with Automa extension for workflow execution,grid,null,"Never, external triggers only",16,16,f,f,,,,
verify_hyperbrowser_profile_setup,,t,f,t,2025-09-10 21:47:34.155544+03,,,,,/opt/airflow/dags/profile_verification.py,,data-team,Verify that Hyperbrowser profile is properly configured with Automa for workflow execution,grid,null,"Never, external triggers only",16,16,f,f,,,,
